# OpenTelemetry Metrics report: .csv, 4 fields # <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionTimeUs,1757826755724000000,1757826815723000000,63985400
FlushQueue.waitingTimeMaxNs,1757826755724000000,1757826815723000000,1291845631
NonBlockingReadAction.failedExecutionsCount,1757826755724000000,1757826815723000000,0
FlushQueue.executionTimeAvgNs,1757826755724000000,1757826815723000000,350575.1169861203
FlushQueue.queueSizeMax,1757826755724000000,1757826815723000000,7
FlushQueue.executionTime90PNs,1757826755724000000,1757826815723000000,319487
AWTEventQueue.dispatchTimeMaxNs,1757826755724000000,1757826815723000000,1249902591
NonBlockingReadAction.finalizedExecutionsCount,1757826755724000000,1757826815723000000,124
NonBlockingReadAction.failedExecutionTimeUs,1757826755724000000,1757826815723000000,0
AWTEventQueue.eventsDispatched,1757826755724000000,1757826815723000000,4725
FlushQueue.executionTimeMaxNs,1757826755724000000,1757826815723000000,55312383
FlushQueue.waitingTimeAvgNs,1757826755724000000,1757826815723000000,6780889.480502313
StorageLockContext.competingThreads.90P,1757826755724000000,1757826815723000000,1
FilePageCache.capacityInBytes,1757826755724000000,1757826815723000000,524288000
FilePageCache.disposedBuffers,1757826755724000000,1757826815723000000,0
DirectByteBufferAllocator.reclaimed,1757826755724000000,1757826815723000000,0
DirectByteBufferAllocator.hits,1757826755724000000,1757826815723000000,0
FilePageCache.maxCacheSizeInBytes,1757826755724000000,1757826815723000000,295165952
FilePageCache.maxRegisteredFiles,1757826755724000000,1757826815723000000,938
StorageLockContext.competingThreads.avg,1757826755724000000,1757826815723000000,0.1694915254237288
DirectByteBufferAllocator.disposed,1757826755724000000,1757826815723000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757826755724000000,1757826815723000000,0
FilePageCache.pageLoads,1757826755724000000,1757826815723000000,32
FilePageCache.pageFastCacheHits,1757826755724000000,1757826815723000000,211426
FilePageCache.uncachedFileAccess,1757826755724000000,1757826815723000000,28
FilePageCache.totalPageDisposalsUs,1757826755724000000,1757826815723000000,260
StorageLockContext.competingThreads.max,1757826755724000000,1757826815723000000,3
FilePageCache.totalPageLoadsUs,1757826755724000000,1757826815723000000,269263
DirectByteBufferAllocator.misses,1757826755724000000,1757826815723000000,32
FilePageCache.pageLoadsAboveSizeThreshold,1757826755724000000,1757826815723000000,0
FilePageCache.pageHits,1757826755724000000,1757826815723000000,44
FileNameCache.totalMisses,1757826815723000000,1757826875721000000,0
FileNameCache.queries,1757826815723000000,1757826875721000000,628858
FileNameCache.fastMisses,1757826815723000000,1757826875721000000,7105
AWTEventQueue.dispatchTimeAvgNs,1757826815723000000,1757826875721000000,429482.0578653051
FlushQueue.tasksExecuted,1757826815723000000,1757826875721000000,2708
FlushQueue.queueSizeAvg,1757826815723000000,1757826875721000000,0.04874446085672083
FlushQueue.waitingTime90PNs,1757826815723000000,1757826875721000000,419839
AWTEventQueue.dispatchTime90PNs,1757826815723000000,1757826875721000000,819199
FlushQueue.queueSize90P,1757826815723000000,1757826875721000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1757826815723000000,1757826875721000000,82022941
FlushQueue.waitingTimeMaxNs,1757826815723000000,1757826875721000000,228589567
NonBlockingReadAction.failedExecutionsCount,1757826815723000000,1757826875721000000,0
FlushQueue.executionTimeAvgNs,1757826815723000000,1757826875721000000,185911.78434268833
FlushQueue.queueSizeMax,1757826815723000000,1757826875721000000,3
FlushQueue.executionTime90PNs,1757826815723000000,1757826875721000000,366591
AWTEventQueue.dispatchTimeMaxNs,1757826815723000000,1757826875721000000,125304831
NonBlockingReadAction.finalizedExecutionsCount,1757826815723000000,1757826875721000000,1977
NonBlockingReadAction.failedExecutionTimeUs,1757826815723000000,1757826875721000000,0
AWTEventQueue.eventsDispatched,1757826815723000000,1757826875721000000,8226
FlushQueue.executionTimeMaxNs,1757826815723000000,1757826875721000000,46661631
FlushQueue.waitingTimeAvgNs,1757826815723000000,1757826875721000000,821720.3279172821
StorageLockContext.competingThreads.90P,1757826815723000000,1757826875721000000,0
FilePageCache.capacityInBytes,1757826815723000000,1757826875721000000,524288000
FilePageCache.disposedBuffers,1757826815723000000,1757826875721000000,0
DirectByteBufferAllocator.reclaimed,1757826815723000000,1757826875721000000,0
DirectByteBufferAllocator.hits,1757826815723000000,1757826875721000000,0
FilePageCache.maxCacheSizeInBytes,1757826815723000000,1757826875721000000,303644672
FilePageCache.maxRegisteredFiles,1757826815723000000,1757826875721000000,938
StorageLockContext.competingThreads.avg,1757826815723000000,1757826875721000000,0.041666666666666664
DirectByteBufferAllocator.disposed,1757826815723000000,1757826875721000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757826815723000000,1757826875721000000,0
FilePageCache.pageLoads,1757826815723000000,1757826875721000000,19
FilePageCache.pageFastCacheHits,1757826815723000000,1757826875721000000,276543
FilePageCache.uncachedFileAccess,1757826815723000000,1757826875721000000,7
FilePageCache.totalPageDisposalsUs,1757826815723000000,1757826875721000000,235
StorageLockContext.competingThreads.max,1757826815723000000,1757826875721000000,2
FilePageCache.totalPageLoadsUs,1757826815723000000,1757826875721000000,114881
DirectByteBufferAllocator.misses,1757826815723000000,1757826875721000000,19
FilePageCache.pageLoadsAboveSizeThreshold,1757826815723000000,1757826875721000000,0
FilePageCache.pageHits,1757826815723000000,1757826875721000000,44
FileNameCache.totalMisses,1757826875721000000,1757826935721000000,0
FileNameCache.queries,1757826875721000000,1757826935721000000,1068654
FileNameCache.fastMisses,1757826875721000000,1757826935721000000,12476
AWTEventQueue.dispatchTimeAvgNs,1757826875721000000,1757826935721000000,365106.14954645745
FlushQueue.tasksExecuted,1757826875721000000,1757826935721000000,2567
FlushQueue.queueSizeAvg,1757826875721000000,1757826935721000000,0.05921308920919361
FlushQueue.waitingTime90PNs,1757826875721000000,1757826935721000000,401407
AWTEventQueue.dispatchTime90PNs,1757826875721000000,1757826935721000000,700415
FlushQueue.queueSize90P,1757826875721000000,1757826935721000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1757826875721000000,1757826935721000000,50485922
